E,c,phi,k,gamma,sigma0,depth,t_support,GSI,u_crown,u_invert,FoS,P_index
17.053057799925764,4.152045516441092,30.17436145272736,1.67617423182495e-06,18.00545552599805,10.134916614579863,329.4001040210637,19.260114429604645,57.84657720713734,6.890223074323139,5.112164580647897,3.46879373034926,0.0
18.360118417831767,3.0449774428278906,21.09885563201667,1.0938295529196307e-06,19.729238796960534,8.844765521665256,305.48913909028977,17.368553859908452,48.02283508352272,6.7997200411885865,5.948711626921091,2.955862239096074,0.006951692716874602
15.80631802487397,2.905689691420412,40.96009373414571,4.274761787983837e-06,24.75958132763014,14.611968667075796,168.23338588327874,36.835696732259294,32.26555700858776,4.082572120991848,3.4551494717307065,3.1037871773578174,0.0
18.06068652323203,3.260166310890054,22.928461306092224,2.681569748913253e-06,18.657367334919137,1.667470306182802,256.90391934129843,38.2854507040053,32.080887688547925,6.012098866271774,5.111398588935641,3.2432289528177445,0.0
1.972871522904568,1.145004650063932,31.452701697653886,4.569899449302112e-06,22.01970724209204,0.9722564970017082,382.9974253342154,35.70902566294586,70.16968587542698,10.483874668321358,8.36201082920541,2.367808283899092,0.2942630570944094
25.72470656542818,2.147595750380386,43.48352782970883,4.451661078480123e-06,18.766860970956863,12.777683822977263,329.6771287893778,25.582844276920703,60.283330765888806,7.105755398538767,5.635396686152972,2.698186217963738,0.11908581100565244
15.359042842934807,3.932141537579128,43.34959068278157,7.64918806534719e-06,25.988216253905158,7.494859138605426,59.21699367719625,14.691574403664678,83.03555048361763,1.3207973982346168,1.2038358228053099,3.8230935873455363,0.0
5.68156265087858,1.872024903532732,41.48836884745644,5.977097768522507e-06,25.564630467352494,7.674875523455317,339.5814252226969,32.44893912393596,62.23288262262587,7.396501996209284,5.3667950918317535,2.6927727134882504,0.1777205426444084
27.574317289073612,3.2513672070990802,31.20601407114771,4.168297619222737e-06,26.786615772293825,10.313237416015028,336.26195100955925,32.083986195642794,46.96593202656196,7.312466600889581,5.515580239905723,2.991492175559889,0.0
21.95155829295859,3.691306449752747,42.84922240358483,5.417184226601558e-06,26.674637965966433,0.6547079659851031,311.4101333342516,11.915625444650725,50.510152972702585,6.210846089611664,4.72934440828082,3.5739324019875314,0.0
15.430284076219596,0.09829243031929072,42.305431283671496,9.436539637552003e-06,19.369645563367175,5.51051708643021,457.15579410666027,14.303329886203983,32.47650594506761,9.49176035630569,7.457038358282023,1.8197141791621287,0.5899027456861988
11.843464847429019,2.0006145789690826,28.306719764225644,5.661939978127438e-06,26.11367159226341,6.149499785352822,159.3399937395642,30.064352617149346,83.47676292260238,4.315116203549104,3.1881842589982377,2.832761899956054,0.08941611411950966
16.4466035018973,3.133297184184072,44.59965456855975,3.973691757066349e-06,21.633238063778848,12.165539508372175,266.32033647837903,32.782923464263746,79.29186774297372,6.255957838547633,5.1046084084133305,3.2280676205559176,0.0
22.322028908336723,1.3816566727696473,32.91373118302099,6.031069088198637e-06,26.487447747364158,14.776450018083137,111.91546829788831,24.616171163976407,78.68193600581489,2.6335095971221687,2.131241848036586,2.443816567396433,0.3045082313050808
8.373301631106125,4.048638540696672,29.254333984515448,6.690808633270078e-06,22.782108154677747,5.962897718271925,206.62916175467313,16.47874630816798,51.928762925499726,4.611991504853005,4.107452610807818,3.580273692236976,0.0
26.53676565706193,2.9931852288130862,36.26396827590995,3.90853809846552e-06,25.432605948495148,13.705244644022663,348.84520324958953,28.64692344920956,37.43988870920206,7.121086320882974,6.438996803840149,2.831391663298179,0.10708069314633646
3.800706480715089,3.3946576285252164,32.6046249860745,8.403207296796394e-06,26.268221885197796,7.109564537378699,106.39036707265122,37.25133248603045,34.098603002763845,3.8906042970138386,2.733628365566541,3.483967134155208,0.0
23.55903714061398,1.3204236041357171,38.14110271978695,5.259152345478726e-06,21.606791010233344,2.2280940374236096,354.11586365651414,22.092856202440373,70.8851631321362,7.298932156720428,5.883337289566877,2.5463864114597405,0.2535042827245551
27.328148908624723,1.7765373940118032,40.35594742239668,2.2475033709898636e-07,18.94965890109723,9.96511670133297,340.10568304315507,30.134333714737057,51.37263624452636,6.722526358952253,5.421678850623895,2.63227067784575,0.170899045560081
29.331121708222916,3.9587109725192646,27.386586344526823,1.8517897785119016e-06,20.095652751733773,6.950734904730341,356.14487468588146,35.14959202659238,38.19047570620791,7.9154771799428705,6.328122323024898,3.436517886689341,0.0
4.512850301837435,2.99596085111354,36.53763785105336,7.276245812376177e-07,18.184236591639493,11.866673129510867,288.4408584551213,32.01512715781666,39.116381878953376,6.983181841774582,5.261098102130015,2.976780933261772,0.0
21.494024026020277,1.1802429655752606,23.680409114200245,6.409865169502878e-06,24.61155334291793,2.916065892266246,406.5838591997884,25.016556620629522,62.42725171542677,8.09565882291928,6.201367824642659,2.2883983104089154,0.37370277405036795
21.333740460304515,2.617531571964088,27.472425180628324,3.9515612912165015e-06,25.910709040266287,4.677997859128242,351.70907325772373,39.93150712054778,76.16604938596049,7.52054351631445,6.0885564966263965,2.9504330723725536,0.03144124840099802
6.2218392858051415,2.3787311774814746,33.81587245072365,9.450634205958631e-06,19.313594744147345,11.980229877225085,283.9231563500528,37.9532383014983,53.73320791626804,6.980867196594322,5.301088735283287,2.69139454805381,0.17568562325335968
7.242075683563109,0.9763170418591735,34.510662299612875,4.560228777794916e-06,19.45350663219939,10.665962358041051,467.0728562243361,31.033604843211176,63.11354235952849,9.544141859770122,7.6830950794662005,2.0466807757623555,0.49891438817996686
0.8490366510943438,4.0681970671184935,21.487723424184168,5.458846746088888e-06,24.24178860863507,11.199343737030837,72.26855638833925,22.314638062941754,84.66159262071969,7.2565713304336485,5.7314721289832375,3.5277305307988116,0.0
15.919755812644333,2.0835834132062137,23.93035877526233,4.89878327865698e-06,18.94749788227186,13.110615870610143,375.8157064398957,10.672396861991617,47.6624148252411,7.753897422053141,6.245615308578898,2.4774820223925857,0.28827439141478456
